url,isin,name,ticker,full_name,president,province,address,phone,fax,website,email,debut_date,issued_shares,market_cap_mln,book_value_mln,price_to_book,pe_ratio,dividend_yield_percent,index_membership,last_price,change,bid,ask,min_price,max_price,volume,turnover_value,debut_price,max_52w,min_52w,market_segment,sector
https://www.gpw.pl//spolka?isin=LU0646112838,LU0646112838,COALENERG,CLE,COAL ENERGY S.A.,Viktor Vyshnevetskyy,,33 RUE DU PUITS ROMAIN  L-8070  BERTRANGE. LUXEMBOURG,00352  4271711,00352  4271711,www.coalenergy.com.ua,info@coalenergy.com.ua,8.2011,45 011 120,"82,37","-47,12",x,x,---,"['WIG-CEE', 'WIG-Ukraine', 'WIG-górnictwo', 'WIG']","1,8300","0,12 (+7.02%)","1,8300","1,8700","1,7300","2,0100",351 574,"662 291,80","19,2000 (2011-08-04)","4,6000 (2025-02-26)","0,6900 (2024-10-23)",Podstawowy,górnictwo węgla
https://www.gpw.pl//spolka?isin=LU2237380790,LU2237380790,ALLEGRO,ALE,ALLEGRO.EU S.A.,,,RUE HILDEGARD VON BINGEN 1  L-1282  LUKSEMBURG,,,www.allegro.eu,office@allegro.eu,10.202,1 056 904 853,"35 797,37","10 407,10","3,44","32,90",---,"['WIG.MS-ECM', 'GPWB-CENTR', 'WIG140', 'CEEplus', 'WIG30TR', 'WIG30', 'WIG20TR', 'WIG-Poland', 'WIG20', 'WIG']","33,8700","0,74 (+2.23%)","33,8700","33,8800","33,1450","34,0000",2 506 095,"84 623 503,06","70,0000 (2020-10-12)","39,1500 (2024-08-16)","25,6700 (2025-01-13)",Podstawowy,Handel internetowy
https://www.gpw.pl//spolka?isin=LU2910446546,LU2910446546,ZABKA,ZAB,ZABKA GROUP (SOCIÉTÉ ANONYME),Tomasz Suchański,,2. RUE JEAN MONNET  L-2180  LUXEMBOURG,+352 28994045,,zabkagroup.com,contact@zabkagroup.comir@zabkagroup.com,10.2024,1 000 000 000,"22 200,00","1 321,00","16,81","37,10",---,"['WIG.MS-ECM', 'GPWB-CENTR', 'WIG140', 'CEEplus', 'WIG30TR', 'WIG30', 'WIG20TR', 'WIG-Poland', 'WIG20', 'WIG']","22,2000","-0,01 (-0.05%)","22,2000","22,2100","22,0900","22,3800",2 281 749,"50 829 998,16","21,5000 (2024-10-17)","24,7500 (2025-01-17)","17,9000 (2024-11-25)",Podstawowy,artykuły codziennego użytku
https://www.gpw.pl//spolka?isin=PLAIRWY00017,PLAIRWY00017,AIRWAY,AWM,AIRWAY MEDIX SPÓŁKA AKCYJNA,Anna Aranowska-Bablok,mazowieckie,UL. SZARA 10  00-420  WARSZAWA,(22) 408 44 80,,airway-medix.com,investors@airway-medix.cominfo@airway-medix.com,12.2014,101 473 537,"49,67","-25,39",x,x,---,"['WIGmed', 'WIG-Poland', 'WIG']","0,4895","0,14 (+39.86%)","0,4895","0,4900","0,3450","0,4895",5 868 481,"2 621 379,76","1,2200 (2014-12-17)","0,5000 (2025-05-19)","0,2100 (2024-07-17)",Równoległy,Sprzęt i materiały medyczne
https://www.gpw.pl//spolka?isin=PLARHCM00016,PLARHCM00016,ARCHICOM,ARH,ARCHICOM SPÓŁKA AKCYJNA,Waldemar Olbryk,dolnośląskie,UL. POWSTAŃCÓW ŚLĄSKICH 9  53-332  WROCŁAW,(71) 78 58 800,(71) 7858801,www.archicom.pl,archicom@archicom.pl,5.2016,58 496 043,"2 515,33","1 223,30","2,06","177,20","5,80","['WIGdivplus', 'WIG140', 'sWIG80TR', 'WIGdiv', 'WIG-Poland', 'WIG-nieruchomości', 'sWIG80', 'WIG']","43,0000","-2,00 (-4.44%)","43,0000","44,3000","42,6000","45,0000",3 833,"166 636,00","15,0000 (2016-05-09)","47,0000 (2025-06-24)","27,4000 (2024-08-28)",Równoległy,sprzedaż nieruchomości
https://www.gpw.pl//spolka?isin=PLGRNKT00019,PLGRNKT00019,3RGAMES,3RG,3R GAMES SPÓŁKA AKCYJNA,Piotr Surmacz,mazowieckie,UL. POKORNA 2/211  00-199  WARSZAWA,530282726,,3r.games,ir@3r.games,3.2012,79 237 880,"65,13","18,02","3,61",x,---,"['WIG-gry', 'WIG-Poland', 'WIG']","0,8220","-0,05 (-5.95%)","0,8200","0,8220","0,7900","0,8780",254 977,"209 983,91","12,6400 (2012-03-14)","0,9100 (2025-04-28)","0,2600 (2024-10-10)",Podstawowy,Gry
https://www.gpw.pl//spolka?isin=PLIQPRT00017,PLIQPRT00017,RAEN,RAE,RAEN SPÓŁKA AKCYJNA,Adam Guz,mazowieckie,UL. KRAKOWSKIE PRZEDMIEŚCIE 13  00-071  WARSZAWA,(22) 567 00 00,,www.raen.pl,biuro@iqpartners.plhello@punkpirates.io,2.2008,73 597 998,"24,95","6,96","3,59",x,---,"['WIG-energia', 'WIG-Poland', 'WIG']","0,3390","0,04 (+11.51%)","0,3270","0,3390","0,3050","0,3570",510 014,"171 943,52","2,8500 (2008-02-27)","0,6500 (2024-08-16)","0,2900 (2025-06-18)",Podstawowy,energia odnawialna
https://www.gpw.pl//spolka?isin=PLKPPD000017,PLKPPD000017,KPPD,KPD,KOSZALIŃSKIE PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SPÓŁKA AKCYJNA,Marek Szumowicz-Włodarczyk,zachodniopomorskie,UL. WARYŃSKIEGO 2  78-400  SZCZECINEK,(94) 37 49 700; 37 42 711,(94) 3749782; 3749709,www.kppd.pl,kppd@kppd.pl,10.2007,1 622 400,"44,13","103,80","0,43",x,---,"['WIG-Poland', 'WIG']","27,2000","-2,00 (-6.85%)","27,2000","28,4000","27,2000","28,0000",39,"1 062,40","115,8000 (2007-10-17)","47,6000 (2024-07-08)","27,0000 (2024-12-27)",Równoległy,drewno
https://www.gpw.pl//spolka?isin=PLPGER000010,PLPGER000010,PGE,PGE,PGE POLSKA GRUPA ENERGETYCZNA SPÓŁKA AKCYJNA,Dariusz Marzec,lubelskie,ALEJA KRAŚNICKA 27  20-718  LUBLIN,(22) 340 11 77,(22) 6285964,www.gkpge.pl,kontakt@gkpge.pl,12.2009,2 243 712 994,"25 208,12","47 200,00","0,53",x,---,"['GPWB-CENTR', 'WIG140', 'INNOVATOR', 'CEEplus', 'WIG.MS-BAS', 'WIG30TR', 'WIG30', 'WIG20TR', 'WIG-energia', 'WIG-Poland', 'WIG20', 'WIG']","11,2350","-0,08 (-0.66%)","11,2300","11,2550","11,1000","11,4900",3 802 740,"42 773 954,55","24,9400 (2009-12-15)","11,3100 (2025-06-26)","5,8400 (2024-12-19)",Podstawowy,energetyka
https://www.gpw.pl//spolka?isin=PLPRBLG00010,PLPRBLG00010,PURE,PUR,PURE BIOLOGICS SPÓŁKA AKCYJNA,Filip Jeleń,dolnośląskie,UL. SZCZYTNICKA 11  50-382  WROCŁAW,+48 570 002 829,,www.purebiologics.com,info@purebiologics.com,12.2018,4 081 572,"17,02","-13,45",x,x,---,"['WIGmed', 'GPWB-CENTR', 'WIG140', 'CEEplus', 'sWIG80TR', 'WIG-Poland', 'sWIG80', 'WIG']","4,1700","-1,23 (-22.71%)","4,1700","4,2000","3,7200","4,5000",317 941,"1 318 140,86","22,9000 (2018-12-11)","29,7500 (2024-09-09)","4,1700 (2025-06-27)",Równoległy,Biotechnologia
https://www.gpw.pl//spolka?isin=PLSARE000013,PLSARE000013,DIGITREE,DTR,DIGITREE GROUP SPÓŁKA AKCYJNA,Tobiasz Wybraniec,śląskie,UL. RACIBORSKA 35A  44-200  RYBNIK,(32) 42 10 180,(32) 4210180,www.digitree.pl,relacjeinwestorskie@digitree.pl,6.2011,2 485 775,"33,31","13,65","2,44",x,---,"['WIG-Poland', 'WIG-informatyka', 'WIG']","13,4000","0,90 (+7.20%)","11,7000","13,4000","12,5000","13,4000",1 000,"12 928,00","5,1700 (2011-06-01)","15,0000 (2025-05-27)","8,6000 (2024-08-05)",Równoległy,oprogramowanie
https://www.gpw.pl//spolka?isin=PLTHP0000011,PLTHP0000011,FMG,FMG,WISE ENERGY SPÓŁKA AKCYJNA,Bartłomiej Gajecki,mazowieckie,UL. NARUSZEWICZA 27/LOK. 2  02-627  WARSZAWA,(22) 480 27 27,(22) 3973599,wise-energy.pl,kontakt@wise-energy.pl,1.201,343 511,"42,94","72,57","0,59","8,70",---,"['WIG-Poland', 'WIG']","125,0000","17,00 (+15.74%)","121,5000","122,0000","110,5000","125,0000",527,"61 625,50","393,7200 (2010-01-18)","135,0000 (2025-06-04)","83,0000 (2024-08-08)",Równoległy,Działalność inwestycyjna
https://www.gpw.pl//spolka?isin=PLTLKPL00017,PLTLKPL00017,ORANGEPL,OPL,ORANGE POLSKA SPÓŁKA AKCYJNA,Liudmila Climoc,mazowieckie,AL. JEROZOLIMSKIE 160  02-326  WARSZAWA,(22) 527 23 23,,www.orange.plwww.orange.pl/inwestorzy,investors@orange.com,11.1998,1 312 357 479,"12 267,92","13 780,00","0,89","14,00","5,70","['WIGdivplus', 'GPWB-CENTR', 'WIG140', 'WIGtechTR', 'CEEplus', 'WIG30TR', 'WIG30', 'WIG20TR', 'WIG-Poland', 'WIG20', 'WIG']","9,3480","0,10 (+1.10%)","9,3160","9,3480","9,2200","9,3640",5 746 958,"53 161 295,34","16,9000 (1998-11-18)","9,9500 (2025-06-10)","7,1500 (2025-01-14)",Podstawowy,Telekomunikacja
https://www.gpw.pl//spolka?isin=PLTRNSP00013,PLTRNSP00013,TRANSPOL,TRN,TRANS POLONIA SPÓŁKA AKCYJNA,Dariusz Stanisław Cegielski,pomorskie,UL. ROKICKA 16  83-110  TCZEW,(58) 533 90 11; 533 90 15,(58) 5339010,www.transpolonia.pl,info@transpolonia.pl,10.2008,22 847 711,"103,27","141,54","0,73","25,70","2,00","['WIG-Poland', 'WIG']","4,5200","-0,24 (-5.04%)","4,5200","4,6000","4,5100","4,7900",4 995,"23 102,51","5,6500 (2008-10-20)","4,7600 (2025-06-26)","2,7500 (2024-12-20)",Równoległy,transport
https://www.gpw.pl/spolka?isin=AT0000827209,AT0000827209,WARIMPEX,WXF,WARIMPEX FINANZ- UND BETEILIGUNGS AG,Franz Jurkowitsch,,FLORIDSDORFER HAUPTSTRASSE 1  A-1210  VIENNA,0043  13105500100,0043  13105500122,www.warimpex.com,office@warimpex.com,1.2007,54 000 000,"147,42","304,59","0,48",x,---,"['WIG-nieruchomości', 'WIG']","2,7300","0,02 (+0.74%)","2,6700","2,7400","2,6700","2,7500",31 429,"85 225,90","56,0000 (2007-01-29)","3,7000 (2024-07-02)","2,3300 (2024-12-23)",Podstawowy,wynajem nieruchomości
https://www.gpw.pl/spolka?isin=AT0000A21KS2,AT0000A21KS2,CPIEUROPE,CPI,CPI EUROPE AG,,,WIENERBERGSTRAßE 9  1100  VIENNA,+43 (0)1 88 090 - 2312,+43(0)1880908312,www.immofinanz.com,mail@immofinanz.cominvestor@immofinanz.cominvestor@cpi-europe.com,5.2013,138 669 711,"10 878,64","16 960,96","0,64","19,60",---,"['WIG-nieruchomości', 'WIG']","78,4500","0,00 (0.00%)","70,0000","93,0000","0,0000","0,0000",0,"0,00","134,1000 (2013-05-07)","140,0000 (2024-09-02)","63,1000 (2024-12-10)",Podstawowy,wynajem nieruchomości
https://www.gpw.pl/spolka?isin=AU0000198939,AU0000198939,GREENX,GRX,GREENX METALS LIMITED,Benjamin Stoikovich,,LEVEL 9. BGC CENTRE 28. THE ESPLANADE  WA 6000  PERTH,+44 207 478 3900,,www.greenxmetals.com,info@greenxmetals.com,9.2015,279 883 668,"481,40","32,54","14,80",x,---,"['GPWB-CENTR', 'WIG140', 'CEEplus', 'sWIG80TR', 'WIG-górnictwo', 'sWIG80', 'WIG']","1,7200","-0,02 (-1.09%)","1,7180","1,7200","1,7100","1,7300",144 057,"247 513,39","0,7400 (2015-09-04)","2,3800 (2024-06-28)","1,6500 (2024-09-18)",Równoległy,górnictwo węgla
https://www.gpw.pl/spolka?isin=BG1100114062,BG1100114062,EUROHOLD,EHG,EUROHOLD BULGARIA AD,Kiril Ivanov Boshov,,43 CHRISTOPHER COLUMBUS BLVD.. ISKAR DISTRICT  1592  SOFIA,0035  929651651,00 35929651652,www.eurohold.bg,office@eurohold.bginvestors@eurohold.bg,12.2011,260 500 000,"604,36","607,99","0,99","10,10",---,[],"2,3200","0,08 (+3.57%)","2,2400","2,3200","2,3200","2,3200",50,"116,00","3,0000 (2011-12-15)","3,7600 (2025-01-14)","1,9000 (2024-12-19)",Podstawowy,ubezpieczenia - pozostałe
https://www.gpw.pl/spolka?isin=BG11SOSOBT18,BG11SOSOBT18,SOPHARMA,SPH,SOPHARMA AD,Ognian Donev,,16 IIIENSKO SHOSSE ST.  1220  SOPHIA,00 35928134200,00 35929360286,www.sopharmagroup.com,mail@sopharma.bg,11.2011,179 719 201,"2 695,79","1 859,74","1,45","14,30","1,00","['WIG-leki', 'WIG-CEE', 'WIG']","15,0000","0,00 (0.00%)","14,0000","14,9500","0,0000","0,0000",0,"0,00","7,5000 (2011-11-28)","15,5000 (2025-06-06)","12,0000 (2025-05-07)",Podstawowy,Produkcja leków
https://www.gpw.pl/spolka?isin=CY0101062111,CY0101062111,AGROTON,AGT,AGROTON PUBLIC LIMITED,Iurii Zhuravlov,,LAMPOUSAS STREET 1  P.C.1095  NICOSIA,0038  0642345379,0038  0642345379,www.agroton.com.ua,info@agroton.lg.ua,11.201,21 670 000,"105,97","343,28","0,31",x,---,"['WIG-CEE', 'WIG-Ukraine', 'WIG-spożywczy', 'WIG']","4,8900","-0,01 (-0.20%)","4,8900","4,9000","4,7600","4,9000",105,"508,97","28,8400 (2010-11-08)","8,8400 (2025-02-18)","3,2000 (2024-08-21)",Podstawowy,produkcja rolna i rybołówstwo
https://www.gpw.pl/spolka?isin=CY0102492119,CY0102492119,KDMSHIPNG,KDM,KDM SHIPPING PUBLIC LIMITED,Kostiantyn Molodkovets,,MICHAEL KOUSOFTA 3  3031  LIMASSOL,00 35725376919; 00 380445694715,00 380445694715,www.kdmshipping.com,info@kdmshipping.com,8.2012,9 296 000,"13,01","119,42","0,11","1,50",---,[],"1,4000","0,00 (0.00%)","1,5400","1,4000","0,0000","0,0000",0,"0,00","33,0000 (2012-08-09)","1,4000 (2025-06-27)","1,4000 (2024-06-28)",Podstawowy,transport
https://www.gpw.pl/spolka?isin=CY1000031710,CY1000031710,ASBIS,ASB,ASBISC ENTERPRISES PLC,,,1. IAPETOU STREET  4101  AGIOS ATHANASIOS. LIMASSOL,0035  725857000,0035  725857288,www.asbis.com,b.basa@asbis.com,10.2007,55 500 000,"1 381,95","1 117,07","1,24","8,00","4,40","['WIGdivplus', 'GPWB-CENTR', 'WIG140', 'CEEplus', 'mWIG40TR', 'WIGdiv', 'mWIG40', 'WIG']","24,9000","0,50 (+2.05%)","24,8000","24,9000","24,0800","25,0400",171 454,"4 217 395,56","6,8900 (2007-10-30)","27,3800 (2025-03-25)","16,6600 (2024-12-19)",Podstawowy,komputery i elektronika
https://www.gpw.pl/spolka?isin=CZ0005112300,CZ0005112300,CEZ,CEZ,ČEZ. A.S.,Daniel Beneš,,DUHOVA 2/1444  140 53  PRAHA 4,00420 211041111,00420  211042001,www.cez.cz,cez@cez.cz,10.2006,537 989 759,"110 287,90","43 664,20","2,53","22,20","3,90","['GPWB-CENTR', 'CEEplus', 'WIG-CEE', 'WIG-energia', 'WIG']","205,0000","1,20 (+0.59%)","201,8000","205,8000","203,4000","205,0000",395,"80 693,60","121,6000 (2006-10-25)","209,2000 (2025-06-05)","144,5000 (2024-09-13)",Podstawowy,energetyka
https://www.gpw.pl/spolka?isin=EE0000000453,EE0000000453,ELKOP,EKP,ELKOP ESTONIA SE,Damian Patrowicz,,HARJU MAAKOND TALLIN. KESKLINNA LINNAOSA. TRONIMÄE TN 5  10145  TALLINN,(32) 246 24 71; 246 21 43,(32) 2462088,www.elkop.pl,biuro@elkop.pl,3.2001,9 209 440,"23,30","137,44","0,17","0,70",---,"['WIG-Poland', 'WIG-nieruchomości', 'WIG']","2,5300","0,05 (+2.02%)","2,4700","2,5300","2,4600","2,5400",2 354,"5 859,82","85,8800 (2001-03-07)","3,1900 (2024-07-22)","2,2500 (2024-11-25)",Równoległy,wynajem nieruchomości
https://www.gpw.pl/spolka?isin=EE0000000552,EE0000000552,ATLANTIS,ATS,ATLANTIS SE,Damian Patrowicz,,HARJU MAAKOND. KESKLINNA LINNAOSA. TORNIMÄE TN 5  10145  TALLINN,(24) 367 31 31,(24) 3660626,www.atlantis-sa.pl,biuro@atlantis-sa.pl,6.1997,7 000 000,"15,61","20,85","0,75","1 228,20",---,"['WIG-CEE', 'WIG']","2,2300","0,00 (0.00%)","2,1200","2,2300","2,1200","2,2300",19,"40,50","1&nbsp;485&nbsp;000,0000 (1997-06-04)","103,2000 (2024-12-09)","1,9300 (2025-04-23)",Podstawowy,Działalność inwestycyjna
https://www.gpw.pl/spolka?isin=EE3100001751,EE3100001751,SILVANO,SFG,AS SILVANO FASHION GROUP,Jarek Särgava,,TULIKA 15/17  10613  TALLINN,0037  26845000,0037  268453000,www.silvanofashion.com,info@silvanofashion.com,7.2007,36 000 000,"203,76","298,18","0,68","3,80",---,"['WIG-odzież', 'WIG']","5,6600","0,00 (0.00%)","5,3600","5,4800","0,0000","0,0000",0,"0,00","21,0000 (2007-07-23)","5,9600 (2025-02-14)","3,8500 (2024-10-10)",Podstawowy,odzież i obuwie
https://www.gpw.pl/spolka?isin=EE3100099391,EE3100099391,IFSA,IFR,INVESTMENT FRIENDS SE,Agnieszka Gujgo,,HARJU MAAKOND. KESKLINNA LINNAOSA. TORNIMÄE TN 5  10145  TALLINN,(24) 366 06 26,(24) 3660626,www.ifsa.pl,info@ifsa.pl,7.2007,68 850 000,"27,06","6,22","4,35","159,70",---,[],"6,6800","6,29 (+0.00%)",PKC/PCR,PKC/PCR,"0,0000","0,0000",0,"0,00","535,6800 (2007-07-11)","0,3900 (2025-06-27)","0,3900 (2024-06-28)",Podstawowy,Pośrednictwo finansowe
https://www.gpw.pl/spolka?isin=EE3100126368,EE3100126368,CITYSERV,CTS,CITY SERVICE SE,Arturas Gudelis,,NARVA MNT. 5  10117  TALLIN,(370) 5 239 49 00,(370) 52394848,www.cityservice.eu,info@cityservice.eu,11.2015,31 610 000,"192,82","128,43","1,50","6,30","12,10",[],"6,1000","-0,60 (-8.96%)","6,1000","6,9000","6,1000","6,1500",1 140,"7 002,85","7,0500 (2015-11-16)","6,9500 (2025-06-25)","4,5400 (2025-05-22)",Równoległy,Usługi dla przedsiębiorstw
https://www.gpw.pl/spolka?isin=EE3100149154,EE3100149154,IFCAPITAL,IFC,INVESTMENT FRIENDS CAPITAL SE,Damian Patrowicz,,HARJU MAAKOND. KESKLINNA LINNAOSA. TORNIMÄE TN 3 // 5 // 7  10145  TALLINN,(24) 367 31 32; 366 06 27,(24) 3673132,www.ifcapital.pl,biuro@ifcapital.pl,4.2008,4 506 000,"23,88","16,57","1,44",x,---,[],"0,2520","-5,05 (0.00%)","5,0500",PKC/PCR,"0,0000","0,0000",0,"0,00","264,6000 (2008-04-14)","5,3000 (2025-06-27)","5,3000 (2024-06-28)",Równoległy,Pośrednictwo finansowe
