company_url,metric,value
https://www.gpw.pl//spolka?isin=LU0646112838,Przychody ze sprzedaży,"2 466,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Zysk/strata ze sprzedaży,"268,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Pozostałe przychody operacyjne,"-562,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Zysk/strata z działalności operacyjnej,"-559,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Przychody finansowe,"173,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Zysk/strata brutto,"-999,00"
https://www.gpw.pl//spolka?isin=LU0646112838,zysk/strata netto udziałowców jednostki dominującej,"-2 136,00"
https://www.gpw.pl//spolka?isin=LU0646112838,AKTYWA,"1 162,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Aktywa trwałe,"31,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Aktywa obrotowe,"1 131,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Kapitał własny udziałowców podmiotu dominującego,"-13 025,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Kapitał podstawowy,"450,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Zobowiązania krótkoterminowe,"6 688,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Przepływy operacyjne,"72,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Przepływy inwestycyjne,"463,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-18,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Przepływy pieniężne netto,"535,00"
https://www.gpw.pl//spolka?isin=LU0646112838,EBITDA,"-559,00"
https://www.gpw.pl//spolka?isin=LU0646112838,Stopa zwrotu z aktywów (ROA),"-1,73"
https://www.gpw.pl//spolka?isin=LU0646112838,Wskaźnik płynności bieżącej,"0,17"
https://www.gpw.pl//spolka?isin=LU0646112838,Wskaźnik płynności szybkiej,"0,17"
https://www.gpw.pl//spolka?isin=LU0646112838,Wskaźnik obsługi zadłużenia,"-0,84"
https://www.gpw.pl//spolka?isin=LU2237380790,Przychody ze sprzedaży,"2 622 400,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Zysk/strata ze sprzedaży,"607 100,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Zysk/strata z działalności operacyjnej,"481 500,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Przychody finansowe,"39 600,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Zysk/strata brutto,"393 100,00"
https://www.gpw.pl//spolka?isin=LU2237380790,zysk/strata netto udziałowców jednostki dominującej,"296 500,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Amortyzacja (noty),"229 000,00"
https://www.gpw.pl//spolka?isin=LU2237380790,AKTYWA,"19 630 200,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Aktywa trwałe,"14 229 500,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Aktywa obrotowe,"5 400 700,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Kapitał własny udziałowców podmiotu dominującego,"10 407 100,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Kapitał podstawowy,"10 600,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Zobowiązania długoterminowe,"6 831 900,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Zobowiązania krótkoterminowe,"2 391 200,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Przepływy operacyjne,"165 600,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Przepływy inwestycyjne,"-278 400,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-205 300,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Przepływy finansowe,"-146 700,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Przepływy pieniężne netto,"-259 500,00"
https://www.gpw.pl//spolka?isin=LU2237380790,EBITDA,"710 500,00"
https://www.gpw.pl//spolka?isin=LU2237380790,Stopa zwrotu z kapitału własnego (ROE),"0,11"
https://www.gpw.pl//spolka?isin=LU2237380790,Stopa zwrotu z aktywów (ROA),"0,06"
https://www.gpw.pl//spolka?isin=LU2237380790,Wskaźnik płynności bieżącej,"2,26"
https://www.gpw.pl//spolka?isin=LU2237380790,Wskaźnik płynności szybkiej,"2,18"
https://www.gpw.pl//spolka?isin=LU2237380790,Wskaźnik obsługi zadłużenia,"5,90"
https://www.gpw.pl//spolka?isin=LU2910446546,Przychody ze sprzedaży,"5 666 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Zysk/strata ze sprzedaży,"626 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Pozostałe przychody operacyjne,"5 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Zysk/strata z działalności operacyjnej,"106 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Przychody finansowe,"24 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Zysk/strata brutto,"-121 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,zysk/strata netto udziałowców jednostki dominującej,"-125 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Amortyzacja (noty),"439 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,AKTYWA,"17 321 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Aktywa trwałe,"13 349 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Aktywa obrotowe,"3 972 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Kapitał własny udziałowców podmiotu dominującego,"1 321 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Kapitał podstawowy,"120 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Zobowiązania długoterminowe,"8 683 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Zobowiązania krótkoterminowe,"7 317 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Przepływy operacyjne,"572 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Przepływy inwestycyjne,"-506 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-517 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Przepływy finansowe,"-264 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Przepływy pieniężne netto,"-198 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,EBITDA,"545 000,00"
https://www.gpw.pl//spolka?isin=LU2910446546,Wskaźnik płynności bieżącej,"0,54"
https://www.gpw.pl//spolka?isin=LU2910446546,Wskaźnik płynności szybkiej,"0,41"
https://www.gpw.pl//spolka?isin=LU2910446546,Wskaźnik obsługi zadłużenia,"3,30"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Zysk/strata ze sprzedaży,"-1 006,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Pozostałe przychody operacyjne,"4,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Zysk/strata z działalności operacyjnej,"-1 378,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Przychody finansowe,"67,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Zysk/strata brutto,"-1 072,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,zysk/strata netto udziałowców jednostki dominującej,"-1 072,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Amortyzacja (noty),"21,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,AKTYWA,"2 532,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Aktywa trwałe,"585,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Aktywa obrotowe,"1 947,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Kapitał własny udziałowców podmiotu dominującego,"-25 390,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Kapitał podstawowy,"25 064,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Zobowiązania długoterminowe,"9 815,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Zobowiązania krótkoterminowe,"18 107,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Przepływy operacyjne,"-1 851,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Przepływy finansowe,"-121,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Przepływy pieniężne netto,"-1 972,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,EBITDA,"-1 357,00"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Stopa zwrotu z aktywów (ROA),"-3,95"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik płynności bieżącej,"0,11"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik płynności szybkiej,"0,10"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik obsługi zadłużenia,"-0,97"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przychody ze sprzedaży,"21 465,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata ze sprzedaży,"-19 686,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Pozostałe przychody operacyjne,"1 274,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata z działalności operacyjnej,"-33 310,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przychody finansowe,"6 982,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata brutto,"-38 684,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,zysk/strata netto udziałowców jednostki dominującej,"-32 220,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Amortyzacja (noty),"2 138,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,AKTYWA,"3 124 139,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Aktywa trwałe,"833 947,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Aktywa obrotowe,"2 290 192,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Kapitał własny udziałowców podmiotu dominującego,"1 223 300,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Kapitał podstawowy,"584 960,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zobowiązania długoterminowe,"857 797,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zobowiązania krótkoterminowe,"1 043 042,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy operacyjne,"-157 918,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy inwestycyjne,"-2 021,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-1 697,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy finansowe,"116 208,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy pieniężne netto,"-43 731,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,EBITDA,"-31 172,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Stopa zwrotu z kapitału własnego (ROE),"0,01"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Stopa zwrotu z aktywów (ROA),"0,01"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik płynności bieżącej,"2,20"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik płynności szybkiej,"0,29"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik obsługi zadłużenia,"1,49"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przychody ze sprzedaży,"883,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zysk/strata ze sprzedaży,"-11,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zysk/strata z działalności operacyjnej,"-11,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przychody finansowe,"3,00"
