company_url,last_day_with_right,operation_type,parameter
https://www.gpw.pl//spolka?isin=PLARHCM00016,2024-07-09,Dywidenda,0.64
https://www.gpw.pl//spolka?isin=PLARHCM00016,2023-07-12,Dywidenda,2.12
https://www.gpw.pl//spolka?isin=PLARHCM00016,2022-07-12,Dywidenda,0.14
https://www.gpw.pl//spolka?isin=PLARHCM00016,2021-07-08,Dywidenda,1.18
https://www.gpw.pl//spolka?isin=PLARHCM00016,2019-06-27,Dywidenda,1.15
https://www.gpw.pl//spolka?isin=PLKPPD000017,2023-07-19,Dywidenda,4.0
https://www.gpw.pl//spolka?isin=PLKPPD000017,2022-07-20,Dywidenda,2.0
https://www.gpw.pl//spolka?isin=PLKPPD000017,2008-06-17,Dywidenda,1.75
https://www.gpw.pl//spolka?isin=PLPGER000010,2016-09-21,Dywidenda,0.25
https://www.gpw.pl//spolka?isin=PLPGER000010,2015-09-22,Dywidenda,0.78
https://www.gpw.pl//spolka?isin=PLPGER000010,2014-09-02,Dywidenda,1.1
https://www.gpw.pl//spolka?isin=PLPGER000010,2013-09-02,Dywidenda,0.86
https://www.gpw.pl//spolka?isin=PLPGER000010,2012-08-17,Dywidenda,1.83
https://www.gpw.pl//spolka?isin=PLTLKPL00017,2025-06-23,Dywidenda,0.53
https://www.gpw.pl//spolka?isin=PLTLKPL00017,2024-06-24,Dywidenda,0.48
https://www.gpw.pl//spolka?isin=PLTLKPL00017,2023-07-10,Dywidenda,0.35
https://www.gpw.pl//spolka?isin=PLTLKPL00017,2022-06-20,Dywidenda,0.25
https://www.gpw.pl//spolka?isin=PLTLKPL00017,2016-06-20,Dywidenda,0.25
https://www.gpw.pl//spolka?isin=PLTRNSP00013,2024-08-14,Dywidenda,0.11
https://www.gpw.pl//spolka?isin=PLTRNSP00013,2023-08-11,Dywidenda,0.5
https://www.gpw.pl//spolka?isin=PLTRNSP00013,2022-08-11,Dywidenda,0.13
https://www.gpw.pl//spolka?isin=PLTRNSP00013,2021-08-12,Dywidenda,0.27
https://www.gpw.pl//spolka?isin=PLTRNSP00013,2020-12-10,Dywidenda,0.09
https://www.gpw.pl/spolka?isin=AT0000827209,2020-10-06,Dywidenda,0.0300
https://www.gpw.pl/spolka?isin=AT0000827209,2019-06-05,Dywidenda,0.0600
https://www.gpw.pl/spolka?isin=AT0000827209,2018-06-19,Dywidenda,0.0600
https://www.gpw.pl/spolka?isin=AT0000827209,2010-04-20,Prawo poboru,11.00 : 4.00
https://www.gpw.pl/spolka?isin=AT0000827209,2008-05-28,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=AT0000A21KS2,2021-10-20,Dywidenda,0.7500
https://www.gpw.pl/spolka?isin=AT0000A21KS2,2019-05-23,Dywidenda,0.8500
https://www.gpw.pl/spolka?isin=BG1100114062,2021-06-01,Prawo poboru,5.00 : 2.00
