company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl//spolka?isin=LU0646112838,Lycaste Holdings Ltd,27 074 189,"60,15",27 074 189,"60,15"
https://www.gpw.pl//spolka?isin=LU2237380790,Permira VI Investment Platform Limited,188 178 572,"17,80",188 178 572,"17,80"
https://www.gpw.pl//spolka?isin=LU2237380790,Cidinan S.a.r.I,153 405 845,"14,51",153 405 845,"14,51"
https://www.gpw.pl//spolka?isin=LU2910446546,Heket Topco S.a r.l.,451 368 993,"45,14",451 368 993,"45,14"
https://www.gpw.pl//spolka?isin=LU2910446546,PG Investment Company 1113B S.a r.l,126 420 770,"12,64",126 420 770,"12,64"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,CoOpera Finanzierungen Deutschland GmbH,9 023 529,"12,24",9 023 529,"12,24"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Oron Zachar,4 312 050,"5,85",4 312 050,"5,85"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Echo Investment Spółka Akcyjna *,43 307 601,"74,04",49 515 103,"76,53"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,5 130 644,"8,77",5 130 644,"7,93"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Dawid Urban,39 440 401,"49,77",39 440 401,"49,77"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Jan Kozioł,5 320 000,"6,71",5 320 000,"6,71"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Adam Guz,30 576 000,"41,54",30 576 000,"41,54"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Wojciech Przyłęcki *,6 274 337,"8,53",6 274 337,"8,53"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Porozumienie: p. Maciej Hazubski. Dien sp. o.o.,4 510 365,"6,13",4 510 365,"6,13"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Menadile Holdings Co. Limited,352 241,"21,71",352 241,"21,71"
https://www.gpw.pl//spolka?isin=PLKPPD000017,TARKO sp. z o.o.,351 213,"21,65",351 213,"21,65"
https://www.gpw.pl//spolka?isin=PLKPPD000017,TLH Verwaltungs. Beteiligungs GmBH,270 884,"16,70",270 884,"16,70"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Drembo Sp. z o.o.,224 686,"13,85",224 686,"13,85"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Kalina Sp. z o.o. i Drzewiarze Sp.k.,146 694,"9,04",146 694,"9,04"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Kalina Sp. z o.o. i Wspólnicy Sp.k.,93 704,"5,78",93 704,"5,78"
https://www.gpw.pl//spolka?isin=PLPGER000010,Skarb Państwa *,1 384 299 101,"61,70",1 384 299 101,"61,70"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Filip Jeleń,216 717,"5,31",216 717,"5,31"
https://www.gpw.pl//spolka?isin=PLSARE000013,Buffis sp. z o.o.,342 972,"13,80",342 972,"13,80"
https://www.gpw.pl//spolka?isin=PLSARE000013,BUDMAT - Bogdan Więcek,307 780,"12,38",307 780,"12,38"
https://www.gpw.pl//spolka?isin=PLSARE000013,Euvic 2030 sp. z o.o.,307 780,"12,38",307 780,"12,38"
https://www.gpw.pl//spolka?isin=PLSARE000013,Fundacji Rodziny Śmiechowskich Fundacji Rodzinnej,307 780,"12,38",307 780,"12,38"
https://www.gpw.pl//spolka?isin=PLSARE000013,Hasco TM sp. z o.o. sp. k.,307 780,"12,38",307 780,"12,38"
https://www.gpw.pl//spolka?isin=PLSARE000013,Tomasz Pruszczyński,276 278,"11,11",276 278,"11,11"
https://www.gpw.pl//spolka?isin=PLSARE000013,Euvic IT S.A.,170 200,"6,85",170 200,"6,85"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Tarineum Holding SA *,147 219,"42,86",147 219,"42,86"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Adam Osiński *,52 742,"15,35",52 742,"15,35"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Anderton SICAV plc,44 000,"12,81",44 000,"12,81"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Al Awael Investments Limited,36 270,"10,56",36 270,"10,56"
https://www.gpw.pl//spolka?isin=PLTLKPL00017,Orange S.A. (dawniej France Telecom),664 999 999,"50,67",664 999 999,"50,67"
https://www.gpw.pl//spolka?isin=PLTLKPL00017,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,106 593 007,"8,12",106 593 007,"8,12"
https://www.gpw.pl//spolka?isin=PLTLKPL00017,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,76 314 263,"5,82",76 314 263,"5,82"
https://www.gpw.pl//spolka?isin=PLTRNSP00013,Dariusz Stanisław Cegielski *,10 515 123,"46,02",13 015 123,"51,35"
https://www.gpw.pl//spolka?isin=PLTRNSP00013,Ala Moana Partners Limited,4 835 261,"21,16",4 835 261,"19,08"
https://www.gpw.pl//spolka?isin=PLTRNSP00013,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,2 100 000,"9,19",2 100 000,"8,28"
https://www.gpw.pl/spolka?isin=AT0000827209,Georg Folian *,13 662 000,"25,30",13 662 000,"25,30"
https://www.gpw.pl/spolka?isin=AT0000827209,Franz Jurkowitsch *,13 500 000,"25,00",13 500 000,"25,00"
https://www.gpw.pl/spolka?isin=AT0000827209,Generali Powszechne Towarzystwo Emerytalne SA,5 183 417,"9,60",5 183 417,"9,60"
https://www.gpw.pl/spolka?isin=AT0000A21KS2,CPI PROPERTY GROUP *,104 004 581,"75,00",104 004 581,"75,00"
https://www.gpw.pl/spolka?isin=AU0000198939,CD Capital Natural Resources Fund III LP,50 487 925,"18,04",50 487 925,"18,04"
https://www.gpw.pl/spolka?isin=BG1100114062,Starcom Holding AD,135 808 507,"52,13",135 808 507,"52,13"
https://www.gpw.pl/spolka?isin=BG1100114062,Boston Management and Research,22 144 922,"8,50",22 144 922,"8,50"
https://www.gpw.pl/spolka?isin=BG1100114062,KJK Fund II Sicav-Sif Balkan Discovery,21 866 873,"8,39",21 866 873,"8,39"
https://www.gpw.pl/spolka?isin=BG1100114062,SLS Holding AD,20 423 875,"7,84",20 423 875,"7,84"
https://www.gpw.pl/spolka?isin=BG1100114062,Pension Assurance Company (PAC) - Future *,13 794 398,"5,30",13 794 398,"5,30"
https://www.gpw.pl/spolka?isin=BG11SOSOBT18,Donev Investments Holding,72 201 258,"40,17",72 201 258,"40,17"
https://www.gpw.pl/spolka?isin=BG11SOSOBT18,Telecomplect Invest AD,28 709 275,"15,97",28 709 275,"15,97"
https://www.gpw.pl/spolka?isin=BG11SOSOBT18,Ognian Donev,16 263 700,"9,05",16 263 700,"9,05"
https://www.gpw.pl/spolka?isin=BG11SOSOBT18,Sopharma AD,9 420 082,"5,24",9 420 082,"5,24"
https://www.gpw.pl/spolka?isin=CY0101062111,Iurii Zhuravlov,18 959 689,"87,49",18 959 689,"87,49"
